排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
389,新材料,BK0523,24252.84,198.16,0.82,4051645968000,2.43,229,106,日科化学,13.93
390,无线充电,BK0960,2464.54,19.99,0.82,2116797200000,4.1,26,16,联创电子,10.03
391,新能源,BK0493,13498.09,107.81,0.81,5751482368000,1.45,130,75,润建股份,10.01
392,油气设服,BK0606,1510.05,11.59,0.77,1956362704000,1.13,44,15,无锡鼎邦,5.74
393,高压快充,BK1144,1059.76,8.11,0.77,393896016000,4.05,28,15,中恒电气,6.48
394,页岩气,BK0603,1804.91,13.61,0.76,2669893472000,0.68,28,11,海新能科,6.4
395,风能,BK0595,1859.02,13.92,0.75,6338758912000,1.27,139,72,润建股份,10.01
396,鸡肉概念,BK0887,710.95,5.27,0.75,349965120000,1.06,12,7,春雪食品,6.11
397,光伏高速公路,BK1096,1271.11,9.26,0.73,104820692000,0.65,3,4,恒华科技,4.39
398,央视50_,BK0610,2217.42,16.14,0.73,15241404416000,0.34,24,23,迪安诊断,20.0
399,钙钛矿电池,BK1094,733.09,5.24,0.72,602015440000,1.82,17,14,奥来德,5.92
400,宁组合,BK1000,511.45,3.58,0.7,4138434704000,1.49,15,9,昭衍新药,5.98
401,抗菌面料,BK1116,1150.05,7.84,0.69,77646821000,1.98,10,5,安奈儿,3.53
402,猪肉概念,BK0882,1154.7,7.76,0.68,824531088000,1.37,23,11,回盛生物,6.34
403,养老金,BK0823,1305.53,8.75,0.67,2963969712000,1.49,96,75,神州数码,10.01
404,同步磁阻电机,BK1131,1424.3,9.38,0.66,66221232000,8.0,4,1,卧龙电驱,2.15
405,转基因,BK0907,1395.17,9.16,0.66,121155812000,2.05,9,6,康农种业,4.86
406,减速器,BK1100,1438.61,9.35,0.65,625122048000,9.11,31,28,斯菱股份,15.58
407,AH股,BK0499,7493.39,48.29,0.65,32850085632000,0.4,83,50,中国电信,6.59
408,PLC概念,BK1119,1339.46,8.63,0.65,363394160000,3.23,5,4,中控技术,3.71
409,稀土永磁,BK0578,2166.85,13.76,0.64,953438448000,1.81,40,21,创兴资源,10.12
410,超超临界发电,BK1087,1133.82,7.2,0.64,857332704000,1.07,23,18,科远智慧,9.98
411,净水概念,BK1068,1088.71,6.79,0.63,1144819168000,0.91,15,4,津膜科技,2.56
412,煤化工,BK0492,8686.23,54.01,0.63,2379055776000,1.52,38,32,宏盛股份,10.02
413,有机硅,BK0961,1137.16,7.03,0.62,285420592000,1.52,23,8,飞鹿股份,2.33
414,上证50_,BK0611,1796.28,10.94,0.61,26597724416000,0.34,26,20,寒武纪-U,8.86
415,B股,BK0636,906.44,5.39,0.6,435937296000,0.26,43,21,天雁B股,10.0
416,小米汽车,BK1155,1312.42,7.79,0.6,3422138656000,3.34,37,33,浙文互联,10.01
417,汽车热管理,BK1089,1566.17,9.29,0.6,806370304000,6.32,47,31,东风科技,9.99
418,超级品牌,BK0811,2318.08,13.55,0.59,8543545600000,1.75,18,13,中公教育,8.05
419,碳基材料,BK1006,789.75,4.53,0.58,177087567000,2.94,13,6,信德新材,3.92
420,小金属概念,BK0695,2313.26,13.01,0.57,2764103760000,1.48,65,41,创兴资源,10.12
421,特斯拉,BK0644,4958.04,27.58,0.56,4715862528000,3.34,115,96,联创电子,10.03
422,工程机械概念,BK0991,1277.44,7.1,0.56,946501264000,1.28,28,21,吉峰科技,9.98
423,工业母机,BK1004,1423.51,7.89,0.56,1242440144000,5.06,48,32,中化装备,9.99
424,BC电池,BK1148,833.96,4.22,0.51,366261872000,2.27,12,9,中科云网,10.04
425,华为汽车,BK0984,1873.5,9.42,0.51,1703260608000,4.38,59,43,吉大正元,10.0
426,低碳冶金,BK0979,904.87,4.54,0.5,302981552000,0.61,5,2,酒钢宏兴,3.27
427,MSCI中国,BK0821,1175.72,5.76,0.49,64865857024000,0.89,291,245,华大智造,20.0
428,麒麟电池,BK1092,1170.54,5.54,0.48,1235496544000,3.14,7,2,科创新源,2.24
429,海洋经济,BK0623,2339.53,10.76,0.46,703367968000,1.7,15,10,国联水产,3.04
430,GDR,BK0868,869.1,3.76,0.43,1457878784000,0.75,4,7,乐普医疗,8.33
431,券商概念,BK0711,1105.39,4.54,0.41,4020392688000,1.18,38,10,华创云信,3.19
432,基金重仓,BK0536,9920.22,40.48,0.41,7151512832000,1.84,39,35,寒武纪-U,8.86
433,动力电池回收,BK1052,701.61,2.85,0.41,700592720000,1.63,25,12,豪鹏科技,3.3
434,钠离子电池,BK0988,1212.9,4.75,0.39,1896417040000,1.9,28,21,中国长城,7.94
435,上证380,BK0705,2307.15,8.94,0.39,7844698368000,1.36,188,173,海南华铁,10.03
436,轮毂电机,BK1099,882.1,3.4,0.39,54070004000,3.54,5,3,圣龙股份,1.48
437,TOPCon电池,BK1097,720.09,2.71,0.38,594209856000,2.25,21,20,中科云网,10.04
438,滨海新区,BK0566,9209.81,31.18,0.34,205485601000,1.98,14,7,津投城开,3.08
439,HIT电池,BK0908,2224.78,7.52,0.34,635508416000,1.96,21,16,金刚光伏,6.51
440,磷化工,BK1010,657.68,2.2,0.34,703185184000,1.65,25,18,天原股份,4.56
441,举牌,BK0685,2117.11,7.08,0.34,201014976000,1.78,5,7,普元信息,5.55
442,抽水蓄能,BK1003,1225.98,4.0,0.33,877013232000,0.81,19,12,申菱环境,5.17
443,上证180_,BK0612,1473.5,4.47,0.3,42239893248000,0.47,92,73,寒武纪-U,8.86
444,噪声防治,BK1082,1180.56,3.38,0.29,31111661000,2.74,3,4,恒大高新,2.72
445,汽车一体化压铸,BK1093,1114.33,3.14,0.28,343978800000,3.44,17,12,东风股份,10.0
446,空气能热泵,BK1102,1237.9,3.14,0.25,1172103440000,2.54,15,16,申菱环境,5.17
447,深证100R,BK0743,1104.83,2.66,0.24,12933962752000,1.26,51,48,鹏鼎控股,5.85
448,HS300_,BK0500,10301.47,22.82,0.22,56441680640000,0.59,149,136,寒武纪-U,8.86
449,茅指数,BK0999,695.79,1.38,0.2,12778331648000,1.09,25,17,万华化学,3.62
450,PEEK材料概念,BK1156,1168.02,2.31,0.2,255634407000,3.5,10,13,天原股份,4.56
451,氟化工,BK0690,3031.47,5.91,0.2,579722176000,1.47,14,17,泛亚微透,4.36
452,稀缺资源,BK0519,22137.06,41.42,0.19,3053750064000,1.21,37,36,国泰集团,3.26
453,可燃冰,BK0818,1125.16,1.89,0.17,307411776000,0.74,7,6,海默科技,1.93
454,科创板做市商,BK1107,1413.61,1.93,0.14,1778112752000,0.64,7,3,国金证券,0.68
455,社保重仓,BK0520,10231.28,10.96,0.11,421528640000,2.08,16,13,齐心集团,4.41
456,人形机器人,BK1184,1318.74,0.69,0.05,1266481248000,7.7,32,41,天娱数科,9.97
457,锂矿概念,BK1173,1164.2,0.12,0.01,2411346624000,1.67,16,21,尔康制药,4.78
458,草甘膦,BK0950,1395.28,-0.86,-0.06,152885968000,1.19,7,6,中旗股份,3.2
459,PVDF概念,BK1012,807.33,-1.53,-0.19,263469883000,1.68,8,7,金明精机,1.89
460,第四代半导体,BK1121,1375.71,-7.99,-0.58,109822333000,1.1,1,3,衢州发展,0.32
461,机器人执行器,BK1145,1517.22,-8.88,-0.58,525029008000,6.61,8,17,步科股份,6.03
