代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000683,科创生物,852.1647,0.422,0.05,851.7427,854.0597,862.8303,851.4451,1023691,4106656432
sh000687,科创高装,968.1373,-25.888,-2.604,994.0249,988.6296,989.3044,967.412,3203696,10964651600
sh000688,科创50,955.09,-19.744,-2.025,974.8342,972.1886,975.9613,954.9047,24754873,94211964048
sh000689,科创材料,774.4721,-10.73,-1.367,785.202,785.8564,789.253,774.4721,1558847,4165135312
sh000690,科创成长,1042.5775,-20.442,-1.923,1063.0198,1063.5675,1066.899,1042.5775,2689247,14764688892
sh000691,科创ESG,1090.7584,-12.828,-1.162,1103.5864,1110.3848,1113.8068,1090.3511,3015988,21592231786
sh000692,科创新能,839.7301,-17.156,-2.002,856.8858,855.4799,864.2802,839.7301,2840582,4815353812
sh000693,科创机械,1035.1616,-27.798,-2.615,1062.9598,1064.0985,1064.3218,1035.1179,2729609,8874353970
sh000695,科长三角,730.2814,-11.845,-1.596,742.1262,743.9137,746.842,730.2814,3811810,16412937108
sh000697,科大湾区,982.901,-24.067,-2.39,1006.9675,1007.7833,1007.9976,982.901,3247944,10899212014
sh000698,科创100,951.7253,-20.98,-2.157,972.7052,975.1176,976.0414,951.7253,5670715,21488552964
sh000699,科创200,844.8398,-24.474,-2.815,869.3141,868.0756,869.1105,844.8398,8635154,26391073292
sh000802,500沪市,5996.6736,-53.412,-0.883,6050.0852,6054.8394,6074.6611,5996.6736,73879395,76641160230
sh000819,有色金属,4966.3436,-18.712,-0.375,4985.0554,4978.9846,5023.6509,4961.4296,15687467,19625118425
sh000823,800有色,5732.0843,-17.461,-0.304,5749.5455,5741.4886,5793.829,5725.2409,14709925,17517013610
sh000827,中证环保,1386.7054,-7.983,-0.572,1394.6883,1395.0369,1406.8303,1386.6475,22290509,35311725948
sh000847,腾讯济安,2820.8995,-6.026,-0.213,2826.9259,2832.0229,2846.697,2820.8995,25719317,46973770883
sh000849,300非银,9424.989,-172.43,-1.797,9597.4194,9621.1297,9642.8719,9424.989,14300107,27018549364
