date,symbols,count
2020-05-15,"sh600271,sh600409,sh600571,sh600617,sh600630,sh600673,sh600706,sh600860,sz000782,sz000811,sz000850,sz002102,sz002109,sz002114,sz002187,sz002316,sz002390,sz002412,sz002490,sz002664,sz300096,sz300176,sz300254,sz300264,sz300338,sz300500,sz300619,sz300716",28
2020-05-18,"sh600123,sh600339,sh600381,sh600397,sh600420,sh600727,sh600749,sh600753,sh600796,sh600866,sh601718,sh603045,sh603063,sh603300,sz000553,sz000637,sz000786,sz000790,sz000802,sz000819,sz000826,sz000925,sz002110,sz002321,sz002506,sz002564,sz002671,sz002682,sz002692,sz002693,sz002721,sz300032,sz300239,sz300300,sz300355,sz300370",36
2020-05-19,"sh600052,sh600080,sh600135,sh600189,sh600322,sh600409,sh600483,sh600561,sh600664,sh600712,sh600759,sh600777,sh600789,sh600851,sh600860,sh601567,sh601677,sh601700,sh603716,sh603885,sh688189,sz000524,sz000626,sz000650,sz000698,sz000723,sz000766,sz000811,sz000821,sz000850,sz000897,sz000957,sz002051,sz002088,sz002162,sz002164,sz002172,sz002198,sz002274,sz002355,sz002377,sz002412,sz002462,sz002514,sz002599,sz002679,sz002750,sz300071,sz300096,sz300108,sz300128,sz300150,sz300247,sz300264,sz300266,sz300269,sz300289,sz300324,sz300338,sz300365,sz300423,sz300464,sz300466,sz300535,sz300540,sz300593,sz300645,sz300654,sz300670",69
2020-05-20,"sh600082,sh600084,sh600200,sh600592,sh600666,sh600996,sh603063,sh603123,sh603628,sh603895,sz000420,sz000503,sz000523,sz000572,sz000622,sz000839,sz000972,sz002048,sz002121,sz002239,sz002276,sz002358,sz002366,sz002587,sz002614,sz300344,sz300444",27
2020-05-21,"sh600561,sh600587,sh603387,sz002161,sz002363,sz002471,sz002491,sz300254,sz300359",9
2020-05-22,"sh600328,sh600579,sh600725,sh603123,sh603126,sh603389,sz000679,sz000707,sz000711,sz000757,sz000897,sz002121,sz002172,sz002231,sz002234,sz002296,sz002355,sz002427,sz002565,sz002613,sz002792,sz300157,sz300269,sz300300,sz300317,sz300320,sz300404,sz300417",28
2020-05-25,"sh600052,sh600056,sh600123,sh600178,sh600186,sh600187,sh600189,sh600200,sh600322,sh600376,sh600420,sh600448,sh600513,sh600590,sh600613,sh600664,sh600780,sh600796,sh600851,sh600866,sh600981,sh601518,sh603009,sh603045,sh603300,sh603508,sz000078,sz000421,sz000503,sz000572,sz000622,sz000633,sz000650,sz000698,sz000766,sz000786,sz000802,sz000833,sz000919,sz002016,sz002109,sz002166,sz002358,sz002471,sz002482,sz002488,sz002564,sz002614,sz002639,sz002663,sz002670,sz002671,sz002679,sz002693,sz002746,sz300029,sz300039,sz300071,sz300098,sz300117,sz300130,sz300152,sz300155,sz300197,sz300204,sz300209,sz300217,sz300239,sz300249,sz300250,sz300423,sz300499,sz300506,sz300535,sz300615,sz300730,sz300761",77
2020-05-26,"sh600080,sh600084,sh600096,sh600100,sh600105,sh600121,sh600135,sh600265,sh600271,sh600318,sh600339,sh600390,sh600405,sh600406,sh600409,sh600423,sh600458,sh600483,sh600496,sh600512,sh600561,sh600571,sh600579,sh600596,sh600673,sh600678,sh600688,sh600736,sh600739,sh600749,sh600758,sh600777,sh600778,sh600797,sh600805,sh600810,sh600869,sh600965,sh601101,sh601677,sh601700,sh601718,sh601858,sh603026,sh603063,sh603123,sh603168,sh603188,sh603196,sh603220,sh603278,sh603333,sh603359,sh603367,sh603399,sh603516,sh603628,sh603716,sh603803,sh603813,sh603901,sh603918,sh688096,sh688189,sz000058,sz000410,sz000420,sz000553,sz000555,sz000607,sz000626,sz000629,sz000637,sz000700,sz000723,sz000755,sz000757,sz000790,sz000793,sz000811,sz000819,sz000826,sz000850,sz000949,sz000957,sz000966,sz000972,sz000981,sz002048,sz002065,sz002081,sz002082,sz002088,sz002090,sz002105,sz002114,sz002162,sz002164,sz002172,sz002177,sz002182,sz002198,sz002200,sz002217,sz002230,sz002231,sz002234,sz002235,sz002261,sz002274,sz002276,sz002316,sz002321,sz002335,sz002349,sz002355,sz002366,sz002377,sz002391,sz002396,sz002412,sz002446,sz002462,sz002470,sz002476,sz002483,sz002491,sz002510,sz002542,sz002544,sz002546,sz002547,sz002571,sz002587,sz002599,sz002624,sz002640,sz002656,sz002657,sz002664,sz002692,sz002721,sz002729,sz002783,sz002792,sz002869,sz002872,sz002907,sz002912,sz002926,sz002949,sz002955,sz300011,sz300051,sz300052,sz300074,sz300081,sz300086,sz300096,sz300100,sz300129,sz300134,sz300147,sz300164,sz300213,sz300215,sz300234,sz300247,sz300254,sz300256,sz300267,sz300272,sz300284,sz300287,sz300289,sz300300,sz300323,sz300341,sz300344,sz300355,sz300366,sz300369,sz300375,sz300376,sz300378,sz300414,sz300438,sz300444,sz300447,sz300467,sz300471,sz300520,sz300532,sz300540,sz300546,sz300552,sz300570,sz300571,sz300578,sz300593,sz300602,sz300619,sz300670,sz300697,sz300803",205
2020-05-27,"sh600518,sh600568,sh600671,sh601869,sz300135,sz300221,sz300777",7
2020-05-28,"sh600406,sh600483,sz000627,sz000700,sz002483,sz002692,sz300365",7
